company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Canva,CANVA INC,Fidelity Founders Fund,Fidelity Concord Street Trust,S000064789,819118,0000035402-26-004059,2026-04-30,NS,3.00000000,3698.28000000,1232.7600,0.001742951840,EP,3,Y,N/A
Canva,CANVA INC,Fidelity Founders Fund,Fidelity Concord Street Trust,S000064789,819118,0000035402-26-004059,2026-04-30,NS,188.00000000,231758.88000000,1232.7600,0.109224982004,EC,3,Y,N/A
Canva,CANVAS INC,Fidelity Founders Fund,Fidelity Concord Street Trust,S000064789,819118,0000035402-26-004059,2026-04-30,NS,17.00000000,20956.92000000,1232.7600,0.009876727096,EP,3,Y,N/A
Canva,CANVA CLASS B COMMON STOCK PP,T. Rowe Price International Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001487,313212,0001099263-26-008009,2026-04-30,NS,14001.000000,20951376.420000,1496.4200,0.1508446156,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,T. Rowe Price International Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001487,313212,0001099263-26-008009,2026-04-30,NS,826.000000,1236042.920000,1496.4200,0.0088991967,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,T. Rowe Price International Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001487,313212,0001099263-26-008009,2026-04-30,NS,34.000000,50878.280000,1496.4200,0.0003663108,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,T. Rowe Price International Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001487,313212,0001099263-26-008009,2026-04-30,NS,3.000000,4489.260000,1496.4200,0.0000323215,EP,3,Y,000000000
Canva,CANVA SERIES A-5 CVT PFD STOCK PP,T. Rowe Price International Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001487,313212,0001099263-26-008009,2026-04-30,NS,2.000000,2992.840000,1496.4200,0.0000215477,EP,3,Y,000000000
Canva,CANVA CLASS A COMMON STOCK PP,T. Rowe Price Global Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001497,313212,0001099263-26-008016,2026-04-30,NS,2218.000000,3319059.560000,1496.4200,0.0405998880,EC,3,Y,000000000
Canva,CANVA CLASS B COMMON STOCK PP,T. Rowe Price Global Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001497,313212,0001099263-26-008016,2026-04-30,NS,6670.000000,9981121.400000,1496.4200,0.1220925395,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,T. Rowe Price Global Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001497,313212,0001099263-26-008016,2026-04-30,NS,426.000000,637474.920000,1496.4200,0.0077978144,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,T. Rowe Price Global Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001497,313212,0001099263-26-008016,2026-04-30,NS,48.000000,71828.160000,1496.4200,0.0008786270,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,T. Rowe Price Global Stock Fund,"T. ROWE PRICE INTERNATIONAL FUNDS, INC.",S000001497,313212,0001099263-26-008016,2026-04-30,NS,4.000000,5985.680000,1496.4200,0.0000732189,EP,3,Y,000000000
Canva,CANVA CLASS A COMMON STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,14739.000000,22055734.380000,1496.4200,0.1175112350,EC,3,Y,000000000
Canva,CANVA CLASS B COMMON STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,20080.000000,30048113.600000,1496.4200,0.1600940090,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,1362.000000,2038124.040000,1496.4200,0.0108589662,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,324.000000,484840.080000,1496.4200,0.0025831902,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,33.000000,49381.860000,1496.4200,0.0002631027,EP,3,Y,000000000
Canva,CANVA SERIES A-5 CVT PFD STOCK PP,T. Rowe Price Large-Cap Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002095,1012968,0001099263-26-006603,2026-03-31,NS,1.000000,1496.420000,1496.4200,0.0000079728,EP,3,Y,000000000
Canva,CANVA CLASS B COMMON STOCK PP,T. Rowe Price Institutional Large-Cap Core Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002096,1012968,0001099263-26-006604,2026-03-31,NS,3708.000000,5548725.360000,1496.4200,0.2272178711,EC,3,Y,TC1HS9QX6
Canva,CANVA SERIES A CVT PFD STOCK PP,T. Rowe Price Institutional Large-Cap Core Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002096,1012968,0001099263-26-006604,2026-03-31,NS,233.000000,348665.860000,1496.4200,0.0142777141,EP,3,Y,TC0R8VGD3
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,T. Rowe Price Institutional Large-Cap Core Growth Fund,"T. Rowe Price Equity Funds, Inc.",S000002096,1012968,0001099263-26-006604,2026-03-31,NS,26.000000,38906.920000,1496.4200,0.0015932213,EP,3,Y,000000000
