company,dt,fund,house,lines,lo_line,hi_line,balance,val_usd,net_assets,SERIES_ID,REGISTRANT_NAME,own_pps,one_price,n_houses,n_funds,spread_pct,consensus_pps,house_pps,repriced_usd,wedge_usd,wedge_bps,own_vs_consensus_pct,position_pct_of_nav
NM:EPIC GAMES,2021-01-31,S000007191,Fidelity,1,575.0,575.0,23000.0,13225000.0,26937518104.28,S000007191,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,14489194.999999998,-1264194.9999999981,-0.46930641312465055,-8.725087901708816,0.04909509461414981
NM:EPIC GAMES,2021-01-31,S000007195,Fidelity,1,575.0,575.0,6131.0,3525325.0,49297825755.93,S000007195,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,3862315.4149999996,-336990.4149999996,-0.06835806850152275,-8.725087901708816,0.00715107602808617
NM:EPIC GAMES,2021-01-31,S000042624,Fidelity,1,575.0,575.0,1076.0,618700.0,5811472947.31,S000042624,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,677842.34,-59142.33999999997,-0.1017682445332136,-8.725087901708816,0.010646182226252679
NM:EPIC GAMES,2021-01-31,S000056372,Fidelity,1,575.0,575.0,9.0,5175.0,102498434.16,S000056372,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,5669.6849999999995,-494.6849999999995,-0.04826268850388451,-8.725087901708816,0.005048857616616687
NM:EPIC GAMES,2021-01-31,S000057284,Fidelity,1,575.0,575.0,607.0,349025.0,5412068953.46,S000057284,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,382388.75499999995,-33363.75499999995,-0.06164695107712939,-8.725087901708816,0.00644901243870635
NM:EPIC GAMES,2021-01-31,S000065698,Fidelity,1,575.0,575.0,1000.0,575000.0,1555944806.25,S000065698,Fidelity Securities Fund,575.0,True,2,7,19.118260869565205,629.9649999999999,575.0,629964.9999999999,-54964.99999999988,-0.3532580318994196,-8.725087901708816,0.0369550383593499
NM:EPIC GAMES,2021-02-28,S000005111,Fidelity,1,575.0,575.0,13300.0,7647500.0,21584255993.12,S000005111,Fidelity Advisor Series I,575.0,True,3,7,0.0,575.0,575.0,7647500.0,0.0,0.0,0.0,0.035430917806190065
NM:EPIC GAMES,2021-02-28,S000007119,Fidelity,1,575.0,575.0,51800.0,29785000.0,62471473860.0,S000007119,Fidelity Mt Vernon Street Trust,575.0,True,3,7,0.0,575.0,575.0,29785000.0,0.0,0.0,0.0,0.047677760999762654
NM:EPIC GAMES,2021-02-28,S000008004,VALIC,1,575.0,575.0,2883.0,1657725.0,2238830154.91,S000008004,VALIC Co I,575.0,True,3,7,0.0,575.0,575.0,1657725.0,0.0,0.0,0.0,0.07404425013502822
NM:EPIC GAMES,2021-02-28,S000042623,Fidelity,1,575.0,575.0,700.0,402500.0,743229782.94,S000042623,Fidelity Advisor Series I,575.0,True,3,7,0.0,575.0,575.0,402500.0,0.0,0.0,0.0,0.05415552622337435
NM:EPIC GAMES,2021-02-28,S000042626,Fidelity,1,575.0,575.0,11800.0,6785000.0,13357668691.06,S000042626,Fidelity Mt Vernon Street Trust,575.0,True,3,7,0.0,575.0,575.0,6785000.0,0.0,0.0,0.0,0.05079479179283025
NM:EPIC GAMES,2021-02-28,S000056100,BRINKER CAPITAL DESTINATIONS TRUST,2,575.0,575.0,5792.0,3330400.0,4731273665.77,S000056100,Brinker Capital Destinations Trust,575.0,True,3,7,0.0,575.0,575.0,3330400.0,0.0,0.0,0.0,0.07039119347703146
NM:EPIC GAMES,2021-02-28,S000065696,Fidelity,1,575.0,575.0,5000.0,2875000.0,9887866579.83,S000065696,Fidelity Mt Vernon Street Trust,575.0,True,3,7,0.0,575.0,575.0,2875000.0,0.0,0.0,0.0,0.029076039576268524
NM:EPIC GAMES,2021-03-31,0000091847SOURCE CAPITAL INC /DE/,SOURCE CAPITAL INC /DE/,1,575.0,575.0,4347.0,2499525.0,401431138.09,,SOURCE CAPITAL INC /DE/,575.0,True,10,25,53.91304347826087,885.0,575.0,3847095.0,-1347570.0,-33.56914479558578,-35.02824858757062,0.6226534921761879
