sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
AI+Crypto+Data/AI+Defense+Energy+Semiconductors,6,10,0.039399498263091415,11.744716121011189,85,True
AI+Data/AI+Defense+Logistics+SaaS+Semiconductors,6,10,0.039399498263091415,22.34120734908136,86,True
AI+Data/AI+Defense+Energy+FinTech+SaaS+Semiconductors,7,13,0.03953517436372146,18.225563909774433,87,True
AI+Crypto+Data/AI+Defense+FinTech+Quantum+Semiconductors,7,13,0.03953517436372146,15.03508771929824,88,True
AI+Data/AI+Defense+Energy+FinTech+Robotics,6,12,0.04090147363561247,26.71428571428571,89,True
AI+Data/AI+Defense+Quantum,4,8,0.04153778512598794,11.744716121011189,90,True
AI+Defense+Quantum+Robotics+Semiconductors,5,8,0.04153778512598794,11.744716121011189,91,False
Data/AI+Defense+FinTech+Logistics+Semiconductors,5,9,0.04153778512598794,18.56666666666667,92,False
AI+Data/AI+Defense+Energy+Robotics,5,9,0.04153778512598794,18.225563909774433,93,True
AI+Crypto+Data/AI+Defense+FinTech+Logistics+Quantum+Robotics+Semiconductors,9,15,0.04313868864263703,32.62121212121212,94,True
Defense,1,2,0.04313868864263703,45.422628114108704,95,False
AI+Data/AI+Defense+Energy+FinTech+Logistics+Robotics+SaaS+Semiconductors,9,15,0.04313868864263703,33.53214285714285,96,True
AI+Data/AI+Semiconductors,3,6,0.043668807438428686,13.07076229305658,97,False
AI+Data/AI+Defense+Energy+Logistics+Quantum+Semiconductors,7,11,0.043668807438428686,19.810958904109594,98,True
AI+Crypto+Data/AI+Defense+Energy+Robotics+Semiconductors,7,11,0.043668807438428686,18.225563909774433,99,True
AI+Data/AI+Defense+Logistics+Robotics+SaaS+Semiconductors,7,11,0.043668807438428686,23.52380952380952,100,True
AI+Defense+Robotics,3,6,0.043668807438428686,11.744716121011189,101,False
AI+Defense+FinTech+Quantum+Semiconductors,5,10,0.043737279923927126,11.736842105263156,102,False
Data/AI+Defense+Energy+Robotics+Semiconductors,5,7,0.043737279923927126,11.18416908412765,103,False
AI+Crypto+Data/AI+Defense+Energy+FinTech+Logistics+Semiconductors,8,14,0.044388626391377875,26.71428571428571,104,True
AI+Data/AI+Defense+FinTech+Quantum+Robotics+SaaS+Semiconductors,8,14,0.044388626391377875,20.333333333333325,105,True
AI+Data/AI+Defense+Energy+Logistics+Quantum+Robotics+Semiconductors,8,12,0.045745704252243245,28.52191780821918,106,True
AI+Crypto+Defense+Semiconductors,4,7,0.04845243634365405,13.398057973016535,107,False
AI+Data/AI+Defense+Energy+SaaS+Semiconductors,6,10,0.04845243634365405,11.744716121011189,108,True
Data/AI+Defense+FinTech+Logistics+Robotics+Semiconductors,6,10,0.04845243634365405,22.33333333333333,109,False
AI+Crypto+Data/AI+Defense+Quantum+Semiconductors,6,10,0.04845243634365405,11.744716121011189,110,True
AI+Defense+FinTech+Quantum+Robotics+Semiconductors,6,11,0.04852471171567116,15.03508771929824,111,False
AI+Data/AI+Defense+FinTech+Quantum,5,11,0.04852471171567116,15.03508771929824,112,True
Defense+Logistics+Semiconductors,3,4,0.05021126693826919,20.80787401574804,113,False
AI+Data/AI+Defense+FinTech+Quantum+SaaS+Semiconductors,7,13,0.05021126693826919,15.03508771929824,114,True
AI+Defense+Energy+Logistics+Semiconductors,5,8,0.050833099186066114,11.035651793525814,115,False
