company,security,acquired,acquired_last,lots_spanned,cost,value,markup_pct,shares,in_thousands,doc,cost_per_share,mark_per_share,filer,cik,adsh,form,file_date,period
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,31000.0,22000.0,-29.032258064516125,,True,https://www.sec.gov/Archives/edgar/data/892538/000119312523229471/d530429dncsrs.htm,,,SUNAMERICA SERIES TRUST  (CIK 0000892538),0000892538,0001193125-23-229471,N-CSRS,2023-09-06,2023-06-30
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,31000.0,22000.0,-29.032258064516125,,True,https://www.sec.gov/Archives/edgar/data/67160/000139834423015933/fp0083816-3_ncsrs.htm,,,MML SERIES INVESTMENT FUND  (CIK 0000067160),0000067160,0001398344-23-015933,N-CSRS,2023-08-25,2023-06-30
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,31000.0,22000.0,-29.032258064516125,,True,https://www.sec.gov/Archives/edgar/data/756913/000168386323006087/f26034d1.htm,,,JOHN HANCOCK VARIABLE INSURANCE TRUST  (CIK 0000756913),0000756913,0001683863-23-006087,N-CSRS,2023-08-30,2023-06-30
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,31000.0,22000.0,-29.032258064516125,,True,https://www.sec.gov/Archives/edgar/data/353905/000183967323000040/primarydocumentpart3of3.htm,,,NATIONWIDE VARIABLE INSURANCE TRUST  (CIK 0000353905),0000353905,0001839673-23-000040,N-CSRS,2023-08-22,2023-06-30
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,65000.0,41000.0,-36.92307692307693,,True,https://www.sec.gov/Archives/edgar/data/1073330/000005193124000663/nwf_ncsrs.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0000051931-24-000663,N-CSRS,2024-06-28,2024-04-30
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares2,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/729528/000114554925024871/8dd787ec664d7b3.htm,,,AMERICAN FUNDS INSURANCE SERIES  (CIK 0000729528),0000729528,0001145549-25-024871,N-CSR,2025-04-15,2024-12-31
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares2,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312525045302/d871499dncsr.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-25-045302,N-CSR,2025-03-04,2024-12-31
Canva,"Canva, Inc., Series A-3, noncumulative preferred shares3,4",11/4/2021,11/4/2021,1,227000.0,142000.0,-37.44493392070485,,True,https://www.sec.gov/Archives/edgar/data/719603/000005193123001249/eupac_ncsrs.htm,,,EUROPACIFIC GROWTH FUND  (CIK 0000719603),0000719603,0000051931-23-001249,N-CSRS,2023-11-30,2023-09-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares",11/4/2021,11/4/2021,1,5000.0,5000.0,0.0,,True,https://www.sec.gov/Archives/edgar/data/1073330/000005193122000510/nwf_ncsrs.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0000051931-22-000510,N-CSRS,2022-06-30,2022-04-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares (a)(b)",11/4/2021,11/4/2021,1,2000.0,2000.0,0.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312525194969/d897817dncsrs.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-25-194969,N-CSRS,2025-09-03,2025-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,2",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/729528/000114554925024871/8dd787ec664d7b3.htm,,,AMERICAN FUNDS INSURANCE SERIES  (CIK 0000729528),0000729528,0001145549-25-024871,N-CSR,2025-04-15,2024-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,2",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312524211856/d856883dncsrs.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-24-211856,N-CSRS,2024-09-03,2024-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,2",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312525045302/d871499dncsr.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-25-045302,N-CSR,2025-03-04,2024-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/729528/000005193123000905/afis_ncsrs.htm,,,AMERICAN FUNDS INSURANCE SERIES  (CIK 0000729528),0000729528,0000051931-23-000905,N-CSRS,2023-08-31,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/729528/000005193124000281/afis_ncsr.htm,,,AMERICAN FUNDS INSURANCE SERIES  (CIK 0000729528),0000729528,0000051931-24-000281,N-CSR,2024-02-29,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/67160/000113322824001045/mmlsif-html7267_ncsr.htm,,,MML SERIES INVESTMENT FUND  (CIK 0000067160),0000067160,0001133228-24-001045,N-CSR,2024-02-23,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312523228484/d503310dncsrs.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-23-228484,N-CSRS,2023-09-05,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/1126087/000119312523229396/d529662dncsrs.htm,,,Brighthouse Funds Trust I  (CIK 0001126087),0001126087,0001193125-23-229396,N-CSRS,2023-09-06,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/892538/000119312523229471/d530429dncsrs.htm,,,SUNAMERICA SERIES TRUST  (CIK 0000892538),0000892538,0001193125-23-229471,N-CSRS,2023-09-06,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/778207/000119312524057724/d51423dncsr.htm,,,TRANSAMERICA SERIES TRUST  (CIK 0000778207),0000778207,0001193125-24-057724,N-CSR,2024-03-04,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/1126087/000119312524060394/d21703dncsr.htm,,,Brighthouse Funds Trust I  (CIK 0001126087),0001126087,0001193125-24-060394,N-CSR,2024-03-06,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/892538/000119312524060694/d752606dncsr.htm,,,SUNAMERICA SERIES TRUST  (CIK 0000892538),0000892538,0001193125-24-060694,N-CSR,2024-03-06,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/67160/000139834423015933/fp0083816-3_ncsrs.htm,,,MML SERIES INVESTMENT FUND  (CIK 0000067160),0000067160,0001398344-23-015933,N-CSRS,2023-08-25,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/756913/000168386323006087/f26034d1.htm,,,JOHN HANCOCK VARIABLE INSURANCE TRUST  (CIK 0000756913),0000756913,0001683863-23-006087,N-CSRS,2023-08-30,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/756913/000168386324001054/f37405d1.htm,,,JOHN HANCOCK VARIABLE INSURANCE TRUST  (CIK 0000756913),0000756913,0001683863-24-001054,N-CSR,2024-02-29,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/756913/000168386324003860/f38450d1.htm,,,JOHN HANCOCK VARIABLE INSURANCE TRUST  (CIK 0000756913),0000756913,0001683863-24-003860,N-CSR,2024-05-09,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/353905/000183967323000040/primarydocumentpart3of3.htm,,,NATIONWIDE VARIABLE INSURANCE TRUST  (CIK 0000353905),0000353905,0001839673-23-000040,N-CSRS,2023-08-22,2023-06-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,2000.0,1000.0,-50.0,,True,https://www.sec.gov/Archives/edgar/data/353905/000183967324000012/primarydocument4of4.htm,,,NATIONWIDE VARIABLE INSURANCE TRUST  (CIK 0000353905),0000353905,0001839673-24-000012,N-CSR,2024-02-28,2023-12-31
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,5000.0,3000.0,-40.0,,True,https://www.sec.gov/Archives/edgar/data/1073330/000005193124000663/nwf_ncsrs.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0000051931-24-000663,N-CSRS,2024-06-28,2024-04-30
Canva,"Canva, Inc., Series A-4, noncumulative preferred shares3,4",11/4/2021,11/4/2021,1,19000.0,12000.0,-36.8421052631579,,True,https://www.sec.gov/Archives/edgar/data/719603/000005193123001249/eupac_ncsrs.htm,,,EUROPACIFIC GROWTH FUND  (CIK 0000719603),0000719603,0000051931-23-001249,N-CSRS,2023-11-30,2023-09-30
Canva,"Canva, Inc., Series A-5, noncumulative preferred shares",11/4/2021,11/4/2021,1,3000.0,3000.0,0.0,,True,https://www.sec.gov/Archives/edgar/data/1073330/000005193122000510/nwf_ncsrs.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0000051931-22-000510,N-CSRS,2022-06-30,2022-04-30
Canva,"Canva, Inc., Series A-5, noncumulative preferred shares1,3",11/4/2021,11/4/2021,1,3000.0,2000.0,-33.333333333333336,,True,https://www.sec.gov/Archives/edgar/data/1073330/000005193124000663/nwf_ncsrs.htm,,,NEW WORLD FUND INC  (CIK 0001073330),0001073330,0000051931-24-000663,N-CSRS,2024-06-28,2024-04-30
